"","Outbreak_id","t0","Longitude","Latitude","Location_aprox","Location_name","level2_name","level1_name","Species","is_wild"
"807","ob_109836","2022",-77.7,39.662,TRUE,"Washington County",NA,"Maryland","Birds",FALSE
"808","ob_109839","2022",-88.421,41.373,FALSE,"Grundy County",NA,"Illinois","Birds",FALSE
"809","ob_109906","2022",-97.744,44.877,TRUE,"Clark County",NA,"South Dakota","Birds",FALSE
"810","ob_109851","2022",-97.128,44.007,TRUE,"Lake County",NA,"South Dakota","Birds",FALSE
"811","ob_109905","2022",-98.545,43.162,TRUE,"Charles Mix",NA,"South Dakota","Birds",FALSE
"812","ob_110027","2022",-97.593,40.859,TRUE,"York County",NA,"Nebraska","Passer domesticus",TRUE
"813","ob_109920","2022",-96.809,44.312,TRUE,"Brookings County",NA,"South Dakota","Birds",FALSE
"814","ob_109919","2022",-97.725,44.88,TRUE,"Clark County",NA,"South Dakota","Birds",FALSE
"815","ob_109922","2022",-83.915,35.96,TRUE,"Knox County",NA,"Tennessee","Birds",FALSE
"816","ob_109923","2022",-91.339,34.279,TRUE,"Arkansas County",NA,"Arkansas","Birds",FALSE
"817","ob_109924","2022",-94.579,39.078,TRUE,"Jackson County",NA,"Missouri","Birds",FALSE
"818","ob_109921","2022",-80.55,34.985,TRUE,"Union County",NA,"North Carolina","Birds",FALSE
"819","ob_110028","2022",-123.091,44.052,TRUE,"Lane County",NA,"Oregon","Fulica americana",TRUE
"820","ob_110031","2022",-105.073,40.585,TRUE,"Larimer County",NA,"Colorado","Birds",FALSE
"821","ob_110045","2022",-87.293,34.48,TRUE,"Lawrence County",NA,"Alabama","Birds",FALSE
"822","ob_110047","2022",-96.802,36.339,TRUE,"Pawnee County",NA,"Oklahoma","Birds",FALSE
"823","ob_110029","2022",-72.618,44.594,TRUE,"Lamoille County",NA,"Vermont","Birds",FALSE
"824","ob_110227","2022",-95.199,42.661,TRUE,"Buena Vista County",NA,"Iowa","Birds",FALSE
"825","ob_110234","2022",-102.619,38.096,TRUE,"Prowers County",NA,"Colorado","Birds",FALSE
"826","ob_110232","2022",-97.198,44.659,TRUE,"Hamlin County",NA,"South Dakota","Birds",FALSE
"827","ob_110228","2022",-94.989,42.414,TRUE,"Sac County",NA,"Iowa","Birds",FALSE
"828","ob_110231","2022",-92.7558,44.073,TRUE,"Dodge County",NA,"Minnesota","Birds",FALSE
"829","ob_110233","2022",-91.854,38.491,TRUE,"Osage County",NA,"Missouri","Birds",FALSE
"830","ob_110229","2022",-95.553,42.771,TRUE,"Cherokee County",NA,"Iowa","Birds",FALSE
"831","ob_110297","2022",-97.785,43.665,TRUE,"Hanson County",NA,"South Dakota","Birds",FALSE
"832","ob_110295","2022",-95.145,46.441,TRUE,"Wadena County",NA,"Minnesota","Birds",FALSE
"833","ob_110298","2022",-94.989,42.426,TRUE,"Sac County",NA,"Iowa","Birds",FALSE
"834","ob_110191","2022",-93.841,37.415,TRUE,"Dade County",NA,"Missouri","Birds",FALSE
"835","ob_110396","2022",-122.797,45.862,TRUE,"Columbia County",NA,"Oregon","Birds",FALSE
"836","ob_110192","2022",-94.036,40.269,TRUE,"Harrison County",NA,"Missouri","Birds",FALSE
"837","ob_110193","2022",-97.546,44.386,TRUE,"Kingsbury County",NA,"South Dakota","Birds",FALSE
"838","ob_110194","2022",-97.021,33.045,TRUE,"Denton County",NA,"Texas","Birds",FALSE
"839","ob_110189","2022",-122.607,45.359,TRUE,"Clackamas County",NA,"Oregon","Birds",FALSE
"840","ob_110187","2022",-123.315,44.921,TRUE,"Polk County",NA,"Oregon","Birds",FALSE
"841","ob_110186","2022",-77.486,34.781,TRUE,"Onslow County",NA,"North Carolina","Birds",FALSE
"842","ob_110397","2022",-76.844,42.908,TRUE,"Seneca County",NA,"New York","Podilymbus podiceps",TRUE
"843","ob_110399","2022",-106.653,35.083,TRUE,"Bernalillo County",NA,"New Mexico","Branta canadensis",TRUE
"844","ob_110465","2022",-98.523,44.864,TRUE,"Spink County",NA,"South Dakota","Birds",FALSE
"845","ob_110588","2022",-88.7147,36.2879,TRUE,"Weakley County",NA,"Tennessee","Birds",FALSE
"846","ob_110590","2022",-97.875,42.609,TRUE,"Knox County",NA,"Nebraska","Birds",FALSE
"847","ob_110592","2022",-104.692,40.444,TRUE,"Weld County",NA,"Colorado","Birds",FALSE
"848","ob_110591","2022",-87.166,38.669,TRUE,"Daviess County",NA,"Indiana","Birds",FALSE
"849","ob_110587","2022",-95.551,42.744,TRUE,"Cherokee County",NA,"Iowa","Birds",FALSE
"850","ob_110585","2022",-95.2,42.647,TRUE,"Buena Vista County",NA,"Iowa","Birds",FALSE
"851","ob_110583","2022",-119.0829,46.2509,TRUE,"Franklin County",NA,"Washington","Birds",FALSE
"852","ob_110589","2022",-95.458,42.345,TRUE,"Ida County",NA,"Iowa","Birds",FALSE
"853","ob_110584","2022",-96.587,44.058,TRUE,"Moody County",NA,"South Dakota","Birds",FALSE
"854","ob_110654","2022",-114.304,48.204,TRUE,"Flathead County",NA,"Montana","Birds",FALSE
"855","ob_110648","2022",-123.315,44.925,TRUE,"Polk County",NA,"Oregon","Birds",FALSE
"856","ob_110646","2022",-123.105,44.638,TRUE,"Linn County",NA,"Oregon","Birds",FALSE
"857","ob_110665","2022",-121.824,39.753,TRUE,"Butte County",NA,"California","Birds",FALSE
"858","ob_110744","2022",-80.096,38.224,TRUE,"Pocahontas County",NA,"West Virginia","Branta canadensis",TRUE
"859","ob_110663","2022",-81.666,30.324,TRUE,"Duval County",NA,"Florida","Birds",FALSE
"860","ob_110669","2022",-123.213,39.152,TRUE,"Mendocino County",NA,"California","Birds",FALSE
"861","ob_110647","2022",-95.109,44.541,TRUE,"Redwood County",NA,"Minnesota","Birds",FALSE
"862","ob_110911","2022",-104.987,39.739,TRUE,"Denver County",NA,"Colorado","Mergellus albellus",TRUE
"863","ob_110911","2022",-104.987,39.739,TRUE,"Denver County",NA,"Colorado","Aythya baeri",TRUE
"864","ob_110911","2022",-104.987,39.739,TRUE,"Denver County",NA,"Colorado","Mergus squamatus",TRUE
"865","ob_110909","2022",-116.494,43.876,TRUE,"Gem County",NA,"Idaho","Birds",FALSE
"866","ob_110908","2022",-94.33,38.257,TRUE,"Bates County",NA,"Missouri","Birds",FALSE
"867","ob_110910","2022",-118.784,45.674,TRUE,"Umatilla County",NA,"Oregon","Birds",FALSE
"868","ob_111058","2022",-112.074,33.451,TRUE,"Maricopa County",NA,"Arizona","Pelecanus crispus",TRUE
"869","ob_111072","2022",-124.054,44.636,TRUE,"Lincoln County",NA,"Oregon","Charadrius nivosus",TRUE
"870","ob_111071","2022",-80.738,28.247,TRUE,"Brevard County",NA,"Florida","Thalasseus sandvicensis",TRUE
"871","ob_111069","2022",-80.059,26.467,TRUE,"Palm Beach County",NA,"Florida","Dendrocygna bicolor",TRUE
"872","ob_111070","2022",-100.876,37.969,TRUE,"Finney County",NA,"Kansas","Quiscalus mexicanus",TRUE
"873","ob_111062","2022",-120.659,35.29,TRUE,"San Luis Obispo County",NA,"California","Larus philadelphia",TRUE
"874","ob_111062","2022",-120.659,35.29,TRUE,"San Luis Obispo County",NA,"California","Fulmarus glacialis",TRUE
"875","ob_110844","2022",-97.786,43.659,TRUE,"Hanson County",NA,"South Dakota","Birds",FALSE
"876","ob_110847","2022",-122.197,39.74,TRUE,"Glenn County",NA,"California","Birds",FALSE
"877","ob_110845","2022",-104.679,40.424,TRUE,"Weld County",NA,"Colorado","Birds",FALSE
"878","ob_110846","2022",-88.706,36.286,TRUE,"Weakley County",NA,"Tennessee","Birds",FALSE
"879","ob_111445","2022",-82.831,43.421,TRUE,"Sanilac County",NA,"Michigan","Birds",FALSE
"880","ob_111404","2022",-122.336,48.418,TRUE,"Skagit County",NA,"Washington","Asio flammeus",TRUE
"881","ob_111443","2022",-96.262,37.469,TRUE,"Elk County",NA,"Kansas","Birds",FALSE
"882","ob_111447","2022",-122.445,47.253,TRUE,"Pierce County",NA,"Washington","Birds",FALSE
"883","ob_111444","2022",-89.984,38.533,TRUE,"St. Clair County",NA,"Illinois","Birds",FALSE
"884","ob_111469","2022",-122.197,47.964,TRUE,"Snohomish County",NA,"Washington","Birds",FALSE
"885","ob_111392","2022",-88.707,36.293,TRUE,"Weakley County",NA,"Tennessee","Birds",FALSE
"886","ob_111391","2022",-88.727,36.285,TRUE,"Weakley County",NA,"Tennessee","Birds",FALSE
